,station,totnum,nans,raw,lev2,lev3,high_rh,no_rhcol,invalid,invalid_notnan,nir,nir_dry,files,files_nodata
0,BEO Moussala,94320,18378,75942,73004,56388,2939,17544,20445,2938,0,0,11,0
1,Mount Chacaltaya,35064,3330,31734,31734,31734,0,0,3330,0,0,0,4,0
2,Egbert,78864,77013,1851,1851,0,0,26280,77013,0,0,0,9,0
3,Whistler Mountain,43848,31694,12154,12154,12154,0,0,31694,0,0,0,5,0
4,Sable Island,52608,17955,34653,34653,0,34653,0,17955,0,2,0,6,0
5,East Trout Lake,26304,26290,14,14,14,0,0,26290,0,0,0,3,0
6,Alert,158520,58057,100463,100463,94482,283,8760,58035,0,0,0,23,0
7,Jungfraujoch,227928,32298,195630,187810,158605,37025,0,30636,7820,0,0,26,0
8,El Tololo,40944,965,39979,39979,0,0,40944,960,0,0,0,5,0
9,Kosetice (NOAK),47123,15770,31353,30341,29448,1905,0,16782,1012,1,0,6,0
10,Hohenpeissenberg,101544,7825,93719,93719,91569,2150,0,4741,0,0,0,12,0
11,Melpitz,99197,1935,97262,97262,25610,38549,34954,1900,0,8,0,49,0
12,Zugspitze-Schneefernerhaus,50489,3619,46870,42810,42810,4060,0,4060,4060,0,0,6,0
13,Neumayer,140256,10429,129827,128313,28080,817,105192,9653,1514,0,0,16,0
14,Granada,104704,25365,79339,73991,71555,7784,0,8859,5348,0,0,14,0
15,Montsec,35064,7752,27312,27312,27311,1,0,7746,0,0,0,4,0
16,El Arenosillo,99921,25476,74445,73573,54711,19734,0,19038,872,2,0,15,0
17,Montseny,60755,14604,46151,43055,41534,4617,0,17376,3096,0,0,9,0
18,Hyytiälä,132048,9882,122166,122166,84963,21,43824,9867,0,0,0,16,0
19,Pallas (Sammaltunturi),155185,43205,111980,111595,86132,2,31297,36694,385,7,7,19,0
20,Pic du Midi,17544,9783,7761,7761,7761,0,0,9783,0,0,0,2,0
21,SIRTA Atmospheric Research Observatory,26304,10469,15835,15835,14622,1213,0,10444,0,0,0,3,0
22,Observatoire Perenne de l'Environnement,43848,14772,29076,29076,27507,1569,0,13490,0,0,0,5,0
23,Puy de Dôme,108792,13158,95634,92753,70701,22483,0,13493,2881,19157,2450,13,0
24,Finokalia,66180,9293,56887,56887,24339,75,39901,9293,0,0,0,10,0
25,DEM_Athens,38037,6239,31798,31798,31784,14,0,6239,0,0,0,5,0
26,Helmos Mountain,17568,4306,13262,13262,13262,0,0,4306,0,0,0,2,0
27,K-puszta,84816,18945,65871,65401,65380,491,0,16653,470,0,0,10,0
28,Bukit Kototabang,46464,5512,40952,37827,0,0,46464,8614,3125,1190,0,6,0
29,Mace Head,155616,34963,120653,97756,114253,6396,0,34963,0,4,4,18,0
30,Gual Pahari,18416,7760,10656,10656,0,0,18416,7760,0,2829,0,5,0
31,Ispra,96419,24896,71523,65946,55678,15840,0,30470,5577,8,5,11,0
32,Mt Cimone,96424,23364,73060,73060,25615,4477,52608,23355,0,121,120,11,0
33,Lecce (University of Salento),8760,281,8479,8479,0,0,8760,281,0,0,0,1,0
34,Mt. Kenya,8760,6125,2635,2635,0,0,8760,6125,0,0,0,1,0
